ticket_id,title,description,category,severity,requester_id,status,created_at,resolution_notes
MERT-1006,VPN login failing since authenticator re-enrolment,"Since re-enrolling MFA on my new phone I cannot get on the VPN. The push arrives, I approve it, and the client still times out.",question,high,,open,2026-02-28 09:00,
MERT-1011,Nightly SAP batch job failed - month end blocked,The overnight finance batch aborted at 02:40. Month-end close is blocked and we need this before the reporting cut-off today.,question,critical,MER-012,open,28/02/2026 09:00,
MERT-1030,Print queue stuck on floor 3,Jobs sit in the queue on the floor 3 printer and never come out. Three of us are affected.,platform_support_access,low,MER-012,open,"Mar 01, 2026 12:00 AM",
MERT-1023,Account locked after too many attempts,Locked out after entering the old password too many times. Need an unlock.,platform_support_access,medium,MER-012,open,2026-03-01 01:00,
MERT-1005,Cannot connect to VPN after MFA reset,I reset my authenticator app yesterday and now the VPN client rejects my login. It shows 'authentication failed' straight after the push notification.,platform_support_access,high,,open,01/03/2026 02:00,
MERT-1016,Please grant access to the month-end folder,Requesting access to the finance month-end folder for my new role.,platform_support_access,medium,,open,"Mar 01, 2026 05:00 AM",
MERT-1024,"Password expired, locked out of workstation",I was on leave for three weeks and my password expired while I was away. I cannot log in to my workstation to change it.,platform_support_access,medium,,open,2026-03-01 07:00,
MERT-1037,Machine unusable since last patch cycle,,bug,medium,MER-009,open,01/03/2026 07:00,
MERT-1022,Cannot log in - password expiry on return from leave,,platform_support_access,medium,MER-011,open,"Mar 02, 2026 12:00 AM",
MERT-1009,SAP job Z_FI_CLOSE aborted overnight,Z_FI_CLOSE shows status ABORTED in SM37. No output produced. This is blocking close.,bug,critical,MER-002,open,2026-03-02 03:00,
MERT-1015,Need permissions for FIN-Reporting folder,Could you please grant me access to \\meridian\finance\reporting. My manager has approved over email.,platform_support_access,medium,MER-011,open,02/03/2026 09:00,
MERT-1012,SAP job Z_FI_CLOSE aborted overnight,Reported again by the user - z_fi_close shows status aborted in sm37. no output produced. this is blocking close.,bug,critical,MER-002,open,27/02/2026 01:00,
MERT-1029,Printer jobs queue but never print,Reported again by the user - print jobs pile up and the device shows ready. restarting my machine did not help.,platform_support_access,low,,open,2026-02-27 05:00,
MERT-1044,Cannot submit expenses - session expires,"Reported again by the user - the expense system times out at submission. i have tried twice today, claim lost both times.",bug,high,MER-007,resolved,15/01/2026 08:00,Claims with more than twenty line items exceeded the gateway timeout.
